_date,total_clones,unique_clones
2026-05-18,0,0
2026-05-19,1,1
2026-05-20,2,2
2026-05-21,2,2
2026-05-22,0,0
2026-05-23,1,1
2026-05-24,3,2
2026-05-25,0,0
2026-05-26,0,0
2026-05-27,1,1
2026-05-28,2,2
2026-05-29,0,0
2026-05-30,0,0
2026-05-31,0,0
2026-06-01,62,32
2026-06-02,4,4
2026-06-03,13,8
2026-06-04,30,20
2026-06-05,28,12
2026-06-06,11,7
2026-06-07,3,3
2026-06-08,26,15
2026-06-09,13,8
2026-06-10,8,4
2026-06-11,9,6
2026-06-12,15,10
2026-06-13,2,2
2026-06-14,33,11
2026-06-15,20,12
2026-06-16,25,10
2026-06-17,20,7
2026-06-18,14,9
2026-06-19,11,7
2026-06-20,8,5
2026-06-21,17,9
2026-06-22,9,5
2026-06-23,69,21
2026-06-24,45,15
2026-06-25,10,6
2026-06-26,12,7
2026-06-27,10,6
2026-06-28,15,9
2026-06-29,9,6
2026-06-30,10,6
2026-07-01,1,1
2026-07-02,9,5
2026-07-03,6,3
2026-07-04,12,8
2026-07-05,8,5
2026-07-06,7,4
2026-07-07,3,3
2026-07-08,1,1
2026-07-09,1,1
